Messages,Free entropy density,density,entropy density,stability,physical
"[[3.394407827514209e-23, 2.39452428517382e-06], [0.9961041405961715, 0.003893464879543409]]",-6.554775973779307,1.0,-6.554775973779307,False,True
"[[3.394407826589138e-23, 1.915619427135392e-06], [0.9965149853679758, 0.003483099012597181]]",-6.666553445324755,1.0,-6.666553445324755,False,True
"[[2.42884052623149e-23, 1.5324955420432117e-06], [0.996882546496145, 0.0031159210083128337]]",-6.778309174111705,1.0,-6.778309174111705,False,True
"[[4.2430097843927595e-23, 2.993155356467275e-06], [0.9956449284988317, 0.004352078345811887]]",-6.442974186350892,1.0,-6.442974186350892,False,True
"[[5.303762230490948e-23, 3.7414441955840934e-06], [0.9951316716537333, 0.00486458690207114]]",-6.331145203370038,1.0,-6.331145203370038,False,True
"[[4.74382915813152e-23, 4.6768052531646845e-06], [0.9945580303922019, 0.005437292802544893]]",-6.219285802307997,1.0,-6.219285802307997,False,True
"[[5.929786447664399e-23, 5.846006566455855e-06], [0.993916926620008, 0.0060772273734255285]]",-6.107392380265416,1.0,-6.107392380265416,False,True
"[[1.1581614142568029e-22, 7.307508192268423e-06], [0.9932004590958327, 0.006792233395975048]]",-5.995460903516829,1.0,-5.995460903516829,False,True
"[[1.447701767821003e-22, 9.134385240335528e-06], [0.9923998093373232, 0.007591056277436452]]",-5.88348685533202,1.0,-5.88348685533202,False,True
"[[2.5290309087302483e-22, 1.1417981544861285e-05], [0.9915051372378126, 0.008483444780642491]]",-5.771465183918977,1.0,-5.771465183918977,False,True
"[[2.529030909083132e-22, 1.4272476934905279e-05], [0.9905054652399848, 0.009480262283080347]]",-5.659390231975241,1.0,-5.659390231975241,False,True
"[[3.1612886363539147e-22, 1.7840596168631597e-05], [0.9893885500976838, 0.010593609306147698]]",-5.547255666746949,1.0,-5.547255666746949,False,True
"[[3.5344281440942417e-22, 2.2300745215662907e-05], [0.9881407409526113, 0.01183695830217294]]",-5.435054396030214,1.0,-5.435054396030214,False,True
"[[2.8275425184556916e-22, 2.7875931579856174e-05], [0.9867468225388412, 0.013225301529579004]]",-5.322778475944546,1.0,-5.322778475944546,False,True
"[[3.5344281480696146e-22, 3.4844914474820216e-05], [0.985189842257452, 0.014775312828073171]]",-5.2104190105171995,1.0,-5.2104190105171995,False,True
"[[4.418035185087018e-22, 4.355614309352527e-05], [0.9834509196161136, 0.01650552424079283]]",-5.09796602845454,1.0,-5.09796602845454,False,True
"[[5.522543981358772e-22, 5.444517886690658e-05], [0.981509036936689, 0.01843651788444406]]",-4.985408355294306,1.0,-4.985408355294306,False,True
"[[1.0786218701459469e-21, 6.805647343647126e-05], [0.9793408098325995, 0.02059113369396392]]",-4.872733464319891,1.0,-4.872733464319891,False,True
"[[9.647487301324922e-22, 8.507059190862414e-05], [0.9769202361215248, 0.022994693286566635]]",-4.759927303057053,1.0,-4.759927303057053,False,True
"[[1.6853466721030414e-21, 0.00010633823974448635], [0.9742184224465741, 0.025675239313681476]]",-4.6469741126052035,1.0,-4.6469741126052035,False,True
"[[1.6853466727449396e-21, 0.0001329227997779372], [0.9712032869214338, 0.028663790278788157]]",-4.533856200289106,1.0,-4.533856200289106,False,True
